file,case,category,flag,first_error
ops_tests,test comparison ops,a,,""[omarchy] GreaterEqual dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[]). No GPU kernel exists for i"
ops_tests,test reduction ops,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=uint8, shape=[1000]). No GPU kernel exis"
ops_tests,test arithmetic unary ops,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[]). No GPU kernel exists fo"
ops_tests,test arithmetic binary ops,a,,""[omarchy] LogAddExp dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[]). No GPU kernel exists for"
ops_tests,test gather,a,,""[omarchy] matrix layout Take is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[10,1]). No GPU kernel exists "
ops_tests,test take,a,,""[omarchy] matrix layout Take is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1,1,4,8]). No GPU kernel exis"
ops_tests,test scatter,a,,""[omarchy] matrix layout Take is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[1]). No GPU kernel exists f"
ops_tests,test masked_scatter,a,,""[omarchy] strided copy is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1,2,2]). No GPU kernel exists for it"
ops_tests,test scatter types,a,,""[omarchy] non-zero scalar fill is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[4,1,1]). No GPU kernel exist"
ops_tests,test complex ops,a,,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[2,2]). No GPU kernel exists for it; n"
ops_tests,test as_strided op,a,,""[omarchy] Equal index span is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[10]). No GPU kernel exists for i"
ops_tests,test pad,a,,""[omarchy] negative stride copy is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[9]). No GPU kernel exists"
ops_tests,test power,a,,""[omarchy] Power dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[]). No GPU kernel exists for it; no s"
ops_tests,test where,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[3]). No GPU kernel exists f"
ops_tests,test full_like,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=int16, shape=[3]). No GPU kernel exists "
ops_tests,test quantize dequantize,a,,"[omarchy] Quantize bits is not implemented for the Omarchy Vulkan backend (dtype=uint32, shape=[128,32]). No GPU kernel exists for"
ops_tests,test diagonal,a,,""[omarchy] non-axis-0 Take is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[2,1,1]). No GPU kernel exists fo"
ops_tests,test diag,a,,""[omarchy] Arange dtype is not implemented for the Omarchy Vulkan backend (dtype=uint32, shape=[4]). No GPU kernel exists for it; "
ops_tests,test topk,a,,""[omarchy] non-suffix Partition is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[2,5]). No GPU kernel exists"
ops_tests,test trace,a,,"[omarchy] non-axis-0 Take is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[3,1,1]). No GPU kernel exists f"
ops_tests,test bitwise shift operations,a,,""[omarchy] non-zero scalar fill is not implemented for the Omarchy Vulkan backend (dtype=int8, shape=[4]). No GPU kernel exists fo"
ops_tests,test conv_transpose1d with output_padding,a,,""[omarchy] transposed (flip) Convolution is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[1,2,1]). No GPU "
ops_tests,test conv_transpose2d with output_padding,a,,""[omarchy] transposed (flip) Convolution is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[1,2,4,2]). No GP"
ops_tests,test conv_transpose3d with output_padding,a,,""[omarchy] 3-D Convolution is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[1,2,4,4,1]). No GPU kernel exi"
random_tests,test random key,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=int64, shape=[2]). No GPU kernel exists "
random_tests,test random split,a,masked,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[2]). No GPU kernel exists for it; no "
random_tests,test random bits,a,,""[omarchy] RandomBits width is not implemented for the Omarchy Vulkan backend (dtype=uint16, shape=[]). No GPU kernel exists for i"
random_tests,test random uniform,a,,""[omarchy] GreaterEqual dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[100]). No GPU kernel exists fo"
random_tests,test random randint,a,,""[omarchy] Minimum dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1000,1000]). No GPU kernel exists "
random_tests,test categorical,a,,""[omarchy] non-suffix ArgMax is not implemented for the Omarchy Vulkan backend (dtype=uint32, shape=[5,1,20]). No GPU kernel exist"
random_tests,test laplace,a,,"[omarchy] GreaterEqual dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1000000]). No GPU kernel exists"
vmap_tests,test simple vmap,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[3,2,1]). No GPU kernel exis"
vmap_tests,test vmap scatter,a,,""[omarchy] multi-index Scatter with 3 index arrays is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[2,3,2]"
vmap_tests,test vmap dynamic slices,a,,""[omarchy] dynamic slice offset is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1]). No GPU kernel exists f"
vmap_tests,test vmap floor_divide integer,a,,""[omarchy] Divide dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[25]). No GPU kernel exists for it; "
